sample,pop,mf,trt,vern_length,stage,group
sq3-16_v1,sq3,16,v1,1,v,sq3_v1
sq3-16_v2,sq3,16,v2,2,v,sq3_v2
tm2-01_i0,tm2,01,i0,0,i,tm2_i0
tm2-01_i1,tm2,01,i1,1,i,tm2_i1
tm2-01_v0,tm2,01,v0,0,v,tm2_v0
tm2-01_v1,tm2,01,v1,1,v,tm2_v1
tm2-01_v2,tm2,01,v2,2,v,tm2_v2
tm2-02_i0,tm2,02,i0,0,i,tm2_i0
tm2-02_i1,tm2,02,i1,1,i,tm2_i1
tm2-02_v0,tm2,02,v0,0,v,tm2_v0
tm2-02_v1,tm2,02,v1,1,v,tm2_v1
tm2-03_i0,tm2,03,i0,0,i,tm2_i0
tm2-03_i1,tm2,03,i1,1,i,tm2_i1
tm2-03_v0,tm2,03,v0,0,v,tm2_v0
tm2-03_v1,tm2,03,v1,1,v,tm2_v1
tm2-04_i0,tm2,04,i0,0,i,tm2_i0
tm2-04_i1,tm2,04,i1,1,i,tm2_i1
tm2-04_i2,tm2,04,i2,2,i,tm2_i2
tm2-04_v0,tm2,04,v0,0,v,tm2_v0
tm2-04_v1,tm2,04,v1,1,v,tm2_v1
tm2-04_v2,tm2,04,v2,2,v,tm2_v2
tm2-06_i0,tm2,06,i0,0,i,tm2_i0
tm2-06_i1,tm2,06,i1,1,i,tm2_i1
tm2-06_v0,tm2,06,v0,0,v,tm2_v0
tm2-06_v1,tm2,06,v1,1,v,tm2_v1
wl2-19_i0,wl2,19,i0,0,i,wl2_i0
wl2-19_i1,wl2,19,i1,1,i,wl2_i1
wl2-19_i2,wl2,19,i2,2,i,wl2_i2
wl2-19_v0,wl2,19,v0,0,v,wl2_v0
wl2-19_v1,wl2,19,v1,1,v,wl2_v1
wl2-19_v2,wl2,19,v2,2,v,wl2_v2
wl2-21_i0,wl2,21,i0,0,i,wl2_i0
wl2-21_i1,wl2,21,i1,1,i,wl2_i1
wl2-21_i2,wl2,21,i2,2,i,wl2_i2
wl2-21_v0,wl2,21,v0,0,v,wl2_v0
wl2-21_v1,wl2,21,v1,1,v,wl2_v1
wl2-23_i0,wl2,23,i0,0,i,wl2_i0
wl2-23_i1,wl2,23,i1,1,i,wl2_i1
wl2-23_i2,wl2,23,i2,2,i,wl2_i2
wl2-23_v0,wl2,23,v0,0,v,wl2_v0
wl2-23_v1,wl2,23,v1,1,v,wl2_v1
wl2-23_v2,wl2,23,v2,2,v,wl2_v2
wl2-38_i0,wl2,38,i0,0,i,wl2_i0
wl2-38_i1,wl2,38,i1,1,i,wl2_i1
